match_id,action_id,timestamp,attacker_name,defender_name,action,base_damage,final_damage,attacker_hp_before,attacker_hp_after,defender_hp_before,defender_hp_after,attacker_sp_before,attacker_sp_after,defender_sp_before,defender_sp_after,is_blocked,is_counter,attacker_combo_before,attacker_combo_after,defender_combo_before,defender_combo_after
1,1,1735460746.6067765,陳六,張三,重拳,35,36,100,100,100,64,100,100,100,95,False,False,0,1,0,0
1,2,1735460747.442357,陳六,張三,直拳,12,12,100,100,64,52,100,100,95,90,False,False,1,2,0,0
1,3,1735460748.3887565,張三,陳六,直拳,17,12,52,52,100,88,90,90,100,95,False,False,0,1,2,0
1,4,1735460749.0073066,陳六,張三,休息,0,0,88,88,52,52,95,100,90,90,False,False,0,0,1,1
1,5,1735460749.738602,陳六,張三,直拳,13,14,88,88,52,38,100,100,90,85,False,False,0,1,1,0
1,6,1735460750.4678597,張三,陳六,防禦,0,0,38,38,88,88,85,85,100,100,False,False,0,0,1,1
1,7,1735460751.0886538,陳六,張三,休息,0,0,88,88,38,38,100,100,85,85,False,False,1,0,0,0
1,8,1735460752.033172,張三,陳六,防禦,0,0,38,38,88,88,85,85,100,100,False,False,0,0,0,0
1,9,1735460752.6543453,陳六,張三,直拳,16,19,88,88,38,19,100,100,85,78,False,False,0,1,0,0
1,10,1735460753.4908667,張三,陳六,直拳,18,13,19,19,88,75,78,78,100,95,False,False,0,1,1,0
1,11,1735460754.2199092,張三,陳六,休息,0,0,19,19,75,75,78,88,95,95,False,False,1,0,0,0
1,12,1735460754.839289,陳六,張三,休息,0,0,75,75,19,19,95,100,88,88,False,False,0,0,0,0
1,13,1735460755.5682912,張三,陳六,直拳,21,15,19,19,75,60,88,88,100,95,False,False,0,1,0,0
1,14,1735460756.1852207,陳六,張三,重拳,36,42,60,60,19,0,95,95,88,83,False,False,0,1,1,0
